,date, value,moving_average
0,01/02/1971,756.1,
1,01/03/1971,788.73,
2,01/04/1971,833.72,
3,01/05/1971,799.64,
4,01/06/1971,790.5,
5,01/07/1971,770.05,
6,01/08/1971,791.14,
7,01/09/1971,795.59,
8,01/10/1971,765.02,
9,01/11/1971,756.8,
10,01/12/1971,826.69,
11,01/01/1972,861.09,794.5891666666666
12,01/02/1972,903.74,806.8924999999999
13,01/03/1972,921.45,817.9525
14,01/04/1972,942.16,826.9891666666667
15,01/05/1972,948.52,839.3958333333334
16,01/06/1972,928.64,850.9074999999999
17,01/07/1972,907.66,862.375
18,01/08/1972,921.09,873.2041666666668
19,01/09/1972,916.6,883.2883333333334
20,01/10/1972,916.63,895.9225
21,01/11/1972,933.51,910.6483333333334
22,01/12/1972,936.78,919.8225000000001
23,01/01/1973,897.39,922.8475
24,01/02/1973,835.65,917.1733333333333
25,01/03/1973,807.65,907.6899999999999
26,01/04/1973,736.4,890.5433333333334
27,01/05/1973,696.1,869.5083333333332
28,01/06/1973,680.2,848.805
29,01/07/1973,730.06,834.005
30,01/08/1973,692.25,814.935
31,01/09/1973,732.47,799.5908333333333
32,01/10/1973,719.3,783.1466666666666
33,01/11/1973,606.51,755.8966666666666
34,01/12/1973,594.07,727.3375
35,01/01/1974,606.51,703.0975
36,01/02/1974,595.07,683.0491666666667
37,01/03/1974,574.66,663.6333333333333
38,01/04/1974,538.71,647.1591666666667
39,01/05/1974,491.31,630.0933333333334
40,01/06/1974,461.53,611.8708333333333
41,01/07/1974,421.83,586.185
42,01/08/1974,371.35,559.4433333333333
43,01/09/1974,327.56,525.7008333333334
44,01/10/1974,380.03,497.42833333333334
45,01/11/1974,363.91,477.21166666666664
46,01/12/1974,343.13,456.3
47,01/01/1975,398.72,438.9841666666667
48,01/02/1975,413.98,423.89333333333326
49,01/03/1975,427.4,411.62166666666667
50,01/04/1975,442.02,403.5641666666666
51,01/05/1975,465.03,401.37416666666667
52,01/06/1975,483.31,403.1891666666667
53,01/07/1975,456.96,406.11666666666673
54,01/08/1975,433.21,411.2716666666667
55,01/09/1975,405.32,417.7516666666666
56,01/10/1975,417.52,420.87583333333333
57,01/11/1975,424.26,425.905
58,01/12/1975,416.35,432.00666666666666
59,01/01/1976,466.15,437.6258333333333
60,01/02/1976,481.54,443.2558333333333
61,01/03/1976,482.64,447.8591666666666
62,01/04/1976,478.05,450.8616666666667
63,01/05/1976,463.88,450.7658333333334
64,01/06/1976,473.37,449.9375
65,01/07/1976,475.99,451.5233333333333
66,01/08/1976,465.27,454.195
67,01/09/1976,471.72,459.7283333333333
68,01/10/1976,464.58,463.6499999999999
69,01/11/1976,467.72,467.2716666666667
70,01/12/1976,500.66,474.29749999999996
71,01/01/1977,486.2,475.9683333333334
72,01/02/1977,476.35,475.53583333333336
73,01/03/1977,471.03,474.5683333333333
74,01/04/1977,473.77,474.21166666666664
75,01/05/1977,471.93,474.8825
76,01/06/1977,489.18,476.2
77,01/07/1977,491.27,477.47333333333336
78,01/08/1977,486.99,479.2833333333333
79,01/09/1977,489.02,480.7250000000001
80,01/10/1977,471.31,481.28583333333336
81,01/11/1977,496.15,483.65500000000003
82,01/12/1977,503.61,483.90083333333337
83,01/01/1978,480.3,483.40916666666664
84,01/02/1978,480.26,483.73499999999996
85,01/03/1978,498.72,486.0425
86,01/04/1978,536.62,491.28
87,01/05/1978,555.03,498.2049999999999
88,01/06/1978,549.29,503.21416666666664
89,01/07/1978,572.36,509.97166666666664
90,01/08/1978,609.03,520.1416666666667
91,01/09/1978,594.95,528.9691666666666
92,01/10/1978,493.04,530.78
93,01/11/1978,506.59,531.65
94,01/12/1978,518.88,532.9225
95,01/01/1979,548.45,538.6016666666666
96,01/02/1979,527.99,542.5791666666668
97,01/03/1979,561.96,547.8491666666667
98,01/04/1979,564.32,550.1575
99,01/05/1979,547.23,549.5075
100,01/06/1979,568.82,551.135
101,01/07/1979,575.64,551.4083333333333
102,01/08/1979,606.87,551.2283333333334
103,01/09/1979,598.57,551.5300000000001
104,01/10/1979,536.56,555.1566666666668
105,01/11/1979,565.79,560.09
106,01/12/1979,586.57,565.7308333333334
107,01/01/1980,619.02,571.6116666666667
108,01/02/1980,596.25,577.3
109,01/03/1980,486.93,571.0475
