Geography,geoid10,Geographic Area Name,med_hh_inc,dollars
1400000US17031051100,17031051100,"Census Tract 511, Cook County, Illinois",161750,"$161,750"
1400000US17031051200,17031051200,"Census Tract 512, Cook County, Illinois",154114,"$154,114"
1400000US17031051300,17031051300,"Census Tract 513, Cook County, Illinois",199977,"$199,977"
1400000US17031051400,17031051400,"Census Tract 514, Cook County, Illinois",138250,"$138,250"
1400000US17031060100,17031060100,"Census Tract 601, Cook County, Illinois",105875,"$105,875"
1400000US17031060200,17031060200,"Census Tract 602, Cook County, Illinois",83854,"$83,854"
1400000US17031060300,17031060300,"Census Tract 603, Cook County, Illinois",123750,"$123,750"
1400000US17031060400,17031060400,"Census Tract 604, Cook County, Illinois",146111,"$146,111"
1400000US17031060500,17031060500,"Census Tract 605, Cook County, Illinois",52652,"$52,652"
1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois",77436,"$77,436"
1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois",80670,"$80,670"
1400000US17031061000,17031061000,"Census Tract 610, Cook County, Illinois",111728,"$111,728"
1400000US17031061100,17031061100,"Census Tract 611, Cook County, Illinois",92750,"$92,750"
1400000US17031061200,17031061200,"Census Tract 612, Cook County, Illinois",120865,"$120,865"
1400000US17031061500,17031061500,"Census Tract 615, Cook County, Illinois",126750,"$126,750"
1400000US17031061800,17031061800,"Census Tract 618, Cook County, Illinois",65238,"$65,238"
1400000US17031061901,17031061901,"Census Tract 619.01, Cook County, Illinois",54192,"$54,192"
1400000US17031061902,17031061902,"Census Tract 619.02, Cook County, Illinois",79254,"$79,254"
1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois",98828,"$98,828"
1400000US17031062100,17031062100,"Census Tract 621, Cook County, Illinois",96510,"$96,510"
1400000US17031062200,17031062200,"Census Tract 622, Cook County, Illinois",165083,"$165,083"
1400000US17031062300,17031062300,"Census Tract 623, Cook County, Illinois",181250,"$181,250"
1400000US17031062400,17031062400,"Census Tract 624, Cook County, Illinois",141328,"$141,328"
1400000US17031062500,17031062500,"Census Tract 625, Cook County, Illinois",157143,"$157,143"
1400000US17031062600,17031062600,"Census Tract 626, Cook County, Illinois",187857,"$187,857"
1400000US17031062700,17031062700,"Census Tract 627, Cook County, Illinois",139477,"$139,477"
1400000US17031062800,17031062800,"Census Tract 628, Cook County, Illinois",154911,"$154,911"
1400000US17031062900,17031062900,"Census Tract 629, Cook County, Illinois",146341,"$146,341"
1400000US17031063000,17031063000,"Census Tract 630, Cook County, Illinois",99792,"$99,792"
1400000US17031063100,17031063100,"Census Tract 631, Cook County, Illinois",96188,"$96,188"
1400000US17031063200,17031063200,"Census Tract 632, Cook County, Illinois",68710,"$68,710"
1400000US17031063301,17031063301,"Census Tract 633.01, Cook County, Illinois",63889,"$63,889"
1400000US17031063302,17031063302,"Census Tract 633.02, Cook County, Illinois",84319,"$84,319"
1400000US17031063303,17031063303,"Census Tract 633.03, Cook County, Illinois",93625,"$93,625"
1400000US17031063400,17031063400,"Census Tract 634, Cook County, Illinois",113512,"$113,512"
1400000US17031070101,17031070101,"Census Tract 701.01, Cook County, Illinois",81708,"$81,708"
1400000US17031070102,17031070102,"Census Tract 701.02, Cook County, Illinois",87912,"$87,912"
1400000US17031070103,17031070103,"Census Tract 701.03, Cook County, Illinois",72625,"$72,625"
1400000US17031070200,17031070200,"Census Tract 702, Cook County, Illinois",103402,"$103,402"
1400000US17031070300,17031070300,"Census Tract 703, Cook County, Illinois",177351,"$177,351"
1400000US17031070400,17031070400,"Census Tract 704, Cook County, Illinois",210147,"$210,147"
1400000US17031070500,17031070500,"Census Tract 705, Cook County, Illinois",144389,"$144,389"
1400000US17031070600,17031070600,"Census Tract 706, Cook County, Illinois","250,000+","250,000+"
1400000US17031070700,17031070700,"Census Tract 707, Cook County, Illinois",150903,"$150,903"
1400000US17031071000,17031071000,"Census Tract 710, Cook County, Illinois",203491,"$203,491"
1400000US17031071100,17031071100,"Census Tract 711, Cook County, Illinois",190380,"$190,380"
