item,date,p_mean,p_75,p_median,p_25,iqr,ratio
Home office desk,2013-04-01,302.0084,329.99,225,60,269.99,5.499833333
Home office desk,2013-05-01,319.0063,354,225,80,274,4.425
Home office desk,2013-06-01,309.9011,329.99,225,80,249.99,4.124875
Home office desk,2013-07-01,313.6876,379,225,60,319,6.316666667
Home office desk,2013-08-01,318.1488,379,225,55,324,6.890909091
Home office desk,2013-09-01,328.4616,366.5,249.5,59.5,307,6.159663866
Home office desk,2013-10-01,307.7728,341.995,229,89.995,252,3.800155564
Home office desk,2013-11-01,315.1679,354,239,65,289,5.446153846
Home office desk,2013-12-01,327.1791,354,235,69,285,5.130434783
Home office desk,2014-01-01,290.7317,304.99,225,70,234.99,4.357
Home office desk,2014-02-01,323.8161,354,244.5,65,289,5.446153846
Home office desk,2014-03-01,331.4394,399,249,79.99,319.01,4.988123515
Home office desk,2014-04-01,303.6352,299,229,89.99,209.01,3.322591399
Home office desk,2014-05-01,309.4862,299,227,80,219,3.7375
Home office desk,2014-06-01,312.2474,306,225,90,216,3.4
Home office desk,2014-07-01,290.1339,283.2,219,75,208.2,3.776
Home office desk,2014-08-01,290.3474,275,191.995,60,215,4.583333333
Home office desk,2014-09-01,306.9362,275,203.99,59.99,215.01,4.58409735
Home office desk,2014-10-01,290.8257,329.99,142.495,60.19,269.8,5.482472171
Home office desk,2014-11-01,279.9063,299,149.99,72.29,226.71,4.136118412
Home office desk,2014-12-01,295.3489,299,199,80,219,3.7375
Home office desk,2015-01-01,252.2467,261.5,174.885,77.495,184.005,3.374411252
Home office desk,2015-02-01,279.211,299,199,89.99,209.01,3.322591399
Home office desk,2015-03-01,286.7436,289,179,54.99,234.01,5.255501
Home office desk,2015-04-01,293.099,326,199,60,266,5.433333333
Home office desk,2015-05-01,305.357,399.76,199.99,60,339.76,6.662666667
Home office desk,2015-06-01,326.9937,379,199,55,324,6.890909091
Home office desk,2015-07-01,305.8282,349,199,89.99,259.01,3.87820869
Home office desk,2015-08-01,332.2237,364,199,59.99,304.01,6.067677946
Home office desk,2015-09-01,333.1658,345,199,60,285,5.75
Home office desk,2015-10-01,334.1298,379,199,90,289,4.211111111
Home office desk,2015-11-01,332.425,379,199,89.99,289.01,4.211579064
Home office desk,2015-12-01,331.2473,324.99,199,69.99,255,4.643377625
Home office desk,2016-01-01,316.1868,324.495,199,62.5,261.995,5.19192
Home office desk,2016-02-01,323.1985,366.495,199,69.99,296.505,5.236390913
Top 10 Fiction paperpack,2016-02-01,7.027916,7.99,7.99,4.99,3,1.601202405
Home office desk,2016-03-01,339.9075,374.495,199,69.99,304.505,5.350692956
Top 10 Fiction paperpack,2016-03-01,6.64234,7.99,7.99,4,3.99,1.9975
Home office desk,2016-04-01,335.3463,369.99,199,69.99,300,5.286326618
Top 10 Fiction paperpack,2016-04-01,6.683756,7.99,7.99,4,3.99,1.9975
Home office desk,2016-05-01,347.3486,369.99,199,69.99,300,5.286326618
