tract,cz,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_percent,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_percent,jail_pooled_pooled_p25_se,pooled_pooled_count
62600,24300,0.40249768,40.2%,0.042784441,-0.00657535,-0.7%,0.02580495,79.664871
62700,24300,0.33608374,33.6%,0.029262122,0.025963647,2.6%,0.027151112,133.26843
62800,24300,0.36321011,36.3%,0.040492129,-0.008052924,-0.8%,0.019739773,124.83842
62900,24300,0.44701859,44.7%,0.057421397,-0.031682469,-3.2%,0.021779189,77.260109
63000,24300,0.39770073,39.8%,0.050393432,-0.003275046,-0.3%,0.016799876,55.223503
63100,24300,0.48407242,48.4%,0.054516632,0.035118409,3.5%,0.048423856,70.816933
63200,24300,0.38889351,38.9%,0.031512056,0.018789701,1.9%,0.018235408,138.60837
63301,24300,0.44228756,44.2%,0.050119057,0.00239669,0.2%,0.031569928,70.887115
63302,24300,0.41211393,41.2%,0.056482766,0.029471457,2.9%,0.041780975,39.45557
63303,24300,0.38766512,38.8%,0.15293211,,0.0%,,11.754762
63400,24300,0.36626658,36.6%,0.047620621,0.049016301,4.9%,0.054986268,66.281219
70101,24300,0.57635409,57.6%,0.052038409,0.021854648,2.2%,0.027260141,30.839346
70102,24300,0.54288709,54.3%,0.071267374,0.074673459,7.5%,0.084598869,40.555496
70103,24300,0.7088775,70.9%,0.086904943,0.05783001,5.8%,0.098157011,18.561806
70200,24300,0.56927693,56.9%,0.066983238,0.005181425,0.5%,0.027882332,62.147217
70300,24300,0.41983268,42.0%,0.042929605,0.002137286,0.2%,0.020769106,109.18226
70400,24300,0.40767324,40.8%,0.058857512,-0.010754788,-1.1%,0.021183295,79.078575
70500,24300,0.37657979,37.7%,0.077882312,-0.025629446,-2.6%,0.024048524,47.94445
70600,24300,0.33347267,33.3%,0.039817102,0.003717664,0.4%,0.017235363,156.31473
70700,24300,0.33521092,33.5%,0.017305017,0.029744476,3.0%,0.017964948,450.47214
71000,24300,0.65338886,65.3%,0.083883353,-0.025151035,-2.5%,0.02154801,35.59597
71100,24300,0.083380759,8.3%,0.10647262,-0.020506252,-2.1%,0.054150462,20.626328
71200,24300,0.41965169,42.0%,0.08228486,0.049854603,5.0%,0.10208622,39.550636
71300,24300,0.43891236,43.9%,0.066525027,0.002363202,0.2%,0.015346174,57.259296
71400,24300,0.39487839,39.5%,0.046317857,0.008503881,0.9%,0.020887107,100.97284
71500,24300,0.37092733,37.1%,0.036991913,0.018328199,1.8%,0.020881502,125.37859
71600,24300,0.35550916,35.6%,0.075011156,0.079826392,8.0%,0.087102823,40.252274
71700,24300,0.34270668,34.3%,0.039176472,0.050839309,5.1%,0.046930142,99.418968
71800,24300,0.31210908,31.2%,0.030739237,0.014117911,1.4%,0.018961921,201.05913
80100,24300,0.44775856,44.8%,0.047035325,0.003223243,0.3%,0.007728102,50.445007
80201,24300,0.40447772,40.4%,0.04730925,-0.015044067,-1.5%,0.012517419,46.332306
80202,24300,0.46861434,46.9%,0.051133536,0.030079087,3.0%,0.037247848,41.782154
80300,24300,0.4149799,41.5%,0.039457712,0.042437974,4.2%,0.037020493,136.31769
80400,24300,0.3166953,31.7%,0.011792009,0.04181961,4.2%,0.015907422,1516.984
81000,24300,0.36994985,37.0%,0.023169914,0.014344611,1.4%,0.013316212,111.06369
81100,24300,0.37962973,38.0%,0.032636009,0.039486431,3.9%,0.032804187,53.472851
81201,24300,0.4146283,41.5%,0.039612465,0.028585685,2.9%,0.024708817,58.495285
81202,24300,0.43332195,43.3%,0.071084082,0.015476859,1.5%,0.039342593,15.273001
81300,24300,0.42135665,42.1%,0.046283975,0.063303471,6.3%,0.054489851,36.815678
81401,24300,0.3858718,38.6%,0.039332945,0.047493994,4.7%,0.038367897,39.085712
81402,24300,0.32456225,32.5%,0.032397196,0.06068882,6.1%,0.038991094,53.03833
81403,24300,0.49436036,49.4%,0.039661996,0.016328117,1.6%,0.017094115,59.534081
81500,24300,0.35667431,35.7%,0.033831961,-0.006948893,-0.7%,0.011297365,39.17065
81600,24300,0.37244639,37.2%,0.051254839,0.11670715,11.7%,0.061054017,13.921018
81700,24300,0.31303123,31.3%,0.029607078,-0.009405555,-0.9%,0.019543475,86.033394
81800,24300,0.32731083,32.7%,0.027358886,0.040962175,4.1%,0.027985264,100.44574
81900,24300,0.34729317,34.7%,0.019794008,0.05245154,5.2%,0.033989228,619.242
90100,24300,0.47394687,47.4%,0.052331176,0.010723792,1.1%,0.01554165,76.467323
90200,24300,0.48994264,49.0%,0.035901703,0.004077418,0.4%,0.005008007,166.23019
90300,24300,0.55927789,55.9%,0.059816863,-0.000284037,0.0%,0.016261956,62.353603
100100,24300,0.47064468,47.1%,0.023809565,0.004250401,0.4%,0.005010248,340.97159
100200,24300,0.47703785,47.7%,0.025170049,0.002599821,0.3%,0.004034634,276.62582
100300,24300,0.49510378,49.5%,0.027645361,0.00677342,0.7%,0.005995785,219.04874
100400,24300,0.42641279,42.6%,0.039258309,0.006165637,0.6%,0.009683493,111.8514
100500,24300,0.48995304,49.0%,0.024979763,0.004675746,0.5%,0.004079966,259.974
100600,24300,0.52035332,52.0%,0.025010329,0.011471985,1.1%,0.008186518,263.95178
100700,24300,0.49509892,49.5%,0.029005961,-0.007598738,-0.8%,0.004941422,193.8168
110100,24300,0.48214933,48.2%,0.026303912,-0.000144748,0.0%,0.004795522,284.08939
110200,24300,0.44639701,44.6%,0.039392184,-0.001279252,-0.1%,0.008888088,133.88557
110300,24300,0.48059455,48.1%,0.02304513,0.000755708,0.1%,0.005074568,360.24802
110400,24300,0.4666194,46.7%,0.026259402,-0.000523064,-0.1%,0.006030354,268.18277
110501,24300,0.49647588,49.6%,0.025333593,-0.003030818,-0.3%,0.004693383,307.96432
110502,24300,0.39044368,39.0%,0.022304641,0.011373754,1.1%,0.011558485,380.77884
120100,24300,0.58875692,58.9%,0.046916146,0.00171573,0.2%,0.006943249,105.13178
120200,24300,0.55347544,55.3%,0.040168639,0.002198854,0.2%,0.00616556,116.781
120300,24300,0.48661515,48.7%,0.025896369,0.021267086,2.1%,0.012405155,300.77744
120400,24300,0.45606804,45.6%,0.02638581,0.011649767,1.2%,0.009502018,283.168
130100,24300,0.49152756,49.2%,0.023710333,0.000418154,0.0%,0.004906985,302.83102
130200,24300,0.47811288,47.8%,0.042204402,0.009055787,0.9%,0.020779137,120.23598
130300,24300,0.51743001,51.7%,0.019389747,0.003206792,0.3%,0.004796801,610.11395
140100,24300,0.40427837,40.4%,0.013936353,0.019642921,2.0%,0.008559691,1169.5991
140200,24300,0.43636113,43.6%,0.011908649,0.019912295,2.0%,0.006823987,1516.4435
140301,24300,0.50067031,50.1%,0.017227795,0.005691994,0.6%,0.006752239,704.03064
140302,24300,0.46505219,46.5%,0.016516369,0.010020796,1.0%,0.006609923,793.46393
140400,24300,0.46290907,46.3%,0.01989077,0.007455578,0.7%,0.005098113,530.16028
140500,24300,0.45824787,45.8%,0.021274874,0.025166417,2.5%,0.01331312,522.0575
140601,24300,0.42632309,42.6%,0.021390375,0.029684126,3.0%,0.016231963,612.72961
140602,24300,0.4342221,43.4%,0.012244213,0.006296327,0.6%,0.004534948,1487.0115
140701,24300,0.42666838,42.7%,0.017256979,0.004828801,0.5%,0.007721359,812.96265
140702,24300,0.45159611,45.2%,0.013900075,0.025988813,2.6%,0.009203888,1495.7495
140800,24300,0.41807783,41.8%,0.014237251,0.013173044,1.3%,0.005746171,1141.1666
150200,24300,0.44725364,44.7%,0.016035154,0.002915918,0.3%,0.003444681,745.09308
150300,24300,0.46597356,46.6%,0.018996721,0.003643968,0.4%,0.004066032,586.00647
150401,24300,0.54305619,54.3%,0.021950077,-0.001369491,-0.1%,0.004633877,414.23987
150402,24300,0.51933974,51.9%,0.0212219,0.000772058,0.1%,0.005732982,403.23907
150501,24300,0.45940033,45.9%,0.025399135,-0.006153029,-0.6%,0.005500549,287.08105
150502,24300,0.49191982,49.2%,0.022699302,0.013832932,1.4%,0.010080542,356.79559
150600,24300,0.4474681,44.7%,0.021215277,-2.23262E-05,0.0%,0.005313582,414.87936
150700,24300,0.48175478,48.2%,0.020082595,0.025582701,2.6%,0.011953916,482.44012
150800,24300,0.40751684,40.8%,0.017182657,0.02440192,2.4%,0.010856713,690.1189
151001,24300,0.47207496,47.2%,0.019641725,0.00801574,0.8%,0.007993791,548.21112
151002,24300,0.42260405,42.3%,0.015084028,0.024905887,2.5%,0.00972111,722.0976
151100,24300,0.46301931,46.3%,0.015219319,0.007935275,0.8%,0.005122058,738.03955
151200,24300,0.45107362,45.1%,0.017353797,0.001921978,0.2%,0.004923271,435.53815
160100,24300,0.47822994,47.8%,0.030862134,-0.000218398,0.0%,0.009354193,237.17879
160200,24300,0.45559347,45.6%,0.027787369,0.006126622,0.6%,0.007900175,307.08759
160300,24300,0.42694113,42.7%,0.019926308,0.0208492,2.1%,0.012793383,396.81796
160400,24300,0.44283345,44.3%,0.019043118,0.01111621,1.1%,0.007754392,711.0993
160501,24300,0.4135434,41.4%,0.016650019,0.000690983,0.1%,0.005531968,954.9043
160502,24300,0.4160248,41.6%,0.019011758,0.001659231,0.2%,0.006935434,838.26495
160601,24300,0.43513948,43.5%,0.017280022,0.010760657,1.1%,0.008554723,795.01532
160602,24300,0.41873902,41.9%,0.017942829,0.019312574,1.9%,0.010200243,683.74799
160700,24300,0.43329403,43.3%,0.015926713,0.015008339,1.5%,0.007615547,968.11139
160800,24300,0.4142707,41.4%,0.017624374,0.018249553,1.8%,0.009721478,711.16199
160900,24300,0.43657005,43.7%,0.029939655,0.006831662,0.7%,0.011466744,258.62579
161000,24300,0.48986542,49.0%,0.03829449,0.021065997,2.1%,0.021088229,143.05602
161100,24300,0.43431321,43.4%,0.037913952,-0.006248609,-0.6%,0.011681512,141.15817
161200,24300,0.45508996,45.5%,0.019094953,0.020515019,2.1%,0.010815889,555.31848
161300,24300,0.40220159,40.2%,0.014975093,0.012262465,1.2%,0.00674781,759.5553
170100,24300,0.50027299,50.0%,0.057063665,0.008428258,0.8%,0.031183839,58.313232
170200,24300,0.48247802,48.2%,0.021852635,0.006272308,0.6%,0.005816295,335.45581
170300,24300,0.46706092,46.7%,0.022366218,-0.001549039,-0.2%,0.004061001,355.27191
170400,24300,0.46173048,46.2%,0.025805837,0.003665376,0.4%,0.006008556,250.86156
170500,24300,0.5243606,52.4%,0.022491967,0.013501004,1.4%,0.007497048,353.78317
170600,24300,0.5573563,55.7%,0.039397635,0.007982588,0.8%,0.01205302,140.50273
170700,24300,0.49628556,49.6%,0.027074808,0.004023877,0.4%,0.006814319,240.50572
170800,24300,0.47996545,48.0%,0.024624858,-0.00296359,-0.3%,0.005638415,315.01797
170900,24300,0.50581306,50.6%,0.035539411,0.014813831,1.5%,0.020887265,192.11734
171000,24300,0.44204435,44.2%,0.01618843,0.008620068,0.9%,0.004707206,670.35437
171100,24300,0.47426444,47.4%,0.017801493,0.004130463,0.4%,0.004355371,434.1088
180100,24300,0.47136119,47.1%,0.017499793,-0.001076264,-0.1%,0.003640384,609.29388
190100,24300,0.38049728,38.0%,0.019560056,0.0485937,4.9%,0.018210068,508.40848
190200,24300,0.42867321,42.9%,0.01311349,0.003291099,0.3%,0.003545886,1134.0342
190300,24300,0.44704509,44.7%,0.014003905,0.009660591,1.0%,0.00551172,860.76373
190401,24300,0.45603326,45.6%,0.016929487,0.012171674,1.2%,0.006420486,526.97681
190402,24300,0.42653695,42.7%,0.014693383,0.009176273,0.9%,0.005836886,732.68365
190601,24300,0.40069088,40.1%,0.015721068,0.01165768,1.2%,0.006731791,725.92896
190602,24300,0.45647806,45.6%,0.013930088,0.009354823,0.9%,0.005400356,930.20538
190701,24300,0.47521573,47.5%,0.021780089,0.005535137,0.6%,0.008334522,553.25494
190702,24300,0.42887834,42.9%,0.014475691,0.004220403,0.4%,0.004861448,1088.8129
190800,24300,0.42037839,42.0%,0.012975948,0.006287118,0.6%,0.004307075,1201.2275
190900,24300,0.41097525,41.1%,0.022624386,0.016957473,1.7%,0.012569864,375.76553
191000,24300,0.41585925,41.6%,0.016599439,0.017373178,1.7%,0.009166534,650.12115
191100,24300,0.3929534,39.3%,0.010820728,0.020147957,2.0%,0.006141419,1734.6923
191200,24300,0.38640442,38.6%,0.014103596,0.024783401,2.5%,0.010299319,976.18359
191301,24300,0.39450529,39.5%,0.013427611,0.005919194,0.6%,0.004683784,1142.2043
191302,24300,0.38459274,38.5%,0.012789872,0.015774051,1.6%,0.006888838,1164.2948
200100,24300,0.41967767,42.0%,0.016553957,0.004481254,0.4%,0.004891612,674.58911
200200,24300,0.39658305,39.7%,0.012779134,0.0103436,1.0%,0.005617376,1234.4938
200300,24300,0.40697435,40.7%,0.017838912,0.000300989,0.0%,0.007287912,611.12653
200401,24300,0.40783486,40.8%,0.014250698,0.014812637,1.5%,0.007543437,1009.5703
200402,24300,0.39587235,39.6%,0.012330087,0.0143989,1.4%,0.006550564,1325.1755
210100,24300,0.38736635,38.7%,0.017205371,0.007457779,0.7%,0.006992199,678.99017
210400,24300,0.42842188,42.8%,0.018761894,0.00881004,0.9%,0.007555501,587.07928
210501,24300,0.41346776,41.3%,0.01558343,-5.42507E-05,0.0%,0.006180489,899.6189
210502,24300,0.40000638,40.0%,0.013058561,0.00607823,0.6%,0.005552924,1091.8047
210601,24300,0.415784,41.6%,0.019101089,0.010540318,1.1%,0.008812643,676.59686
210602,24300,0.4024491,40.2%,0.012965951,0.011838844,1.2%,0.006620279,1285.9321
210700,24300,0.41616032,41.6%,0.013980905,0.009589364,1.0%,0.006020596,1004.0127
210800,24300,0.43605286,43.6%,0.025907198,0.03137482,3.1%,0.021998353,358.16785
210900,24300,0.39208928,39.2%,0.018831544,0.022711761,2.3%,0.011350684,580.90857
220300,24300,0.37507433,37.5%,0.022115152,0.033070039,3.3%,0.01866122,315.80078
220400,24300,0.38718367,38.7%,0.022009138,0.02848387,2.8%,0.015983233,319.26917
220500,24300,0.41252202,41.3%,0.020040726,0.015699474,1.6%,0.010889719,372.41986
220601,24300,0.35727987,35.7%,0.025139323,0.014141802,1.4%,0.0181724,324.54617
220602,24300,0.3857623,38.6%,0.012083846,0.011744022,1.2%,0.006285267,1127.3075
220701,24300,0.40664929,40.7%,0.014196526,0.026967583,2.7%,0.010197986,1026.592
220702,24300,0.36888006,36.9%,0.01408078,0.019172022,1.9%,0.010211152,1095.3618
220901,24300,0.38826627,38.8%,0.013528974,0.017374365,1.7%,0.007840653,1174.032
220902,24300,0.40643713,40.6%,0.015088107,0.00707374,0.7%,0.006183915,997.67218
221000,24300,0.38390017,38.4%,0.013663795,0.018898867,1.9%,0.00913057,1151.1141
221100,24300,0.36849153,36.8%,0.011377714,0.009738531,1.0%,0.00654352,1346.4706
221200,24300,0.39804423,39.8%,0.015800955,0.015278434,1.5%,0.008772909,792.1936
221300,24300,0.41321975,41.3%,0.015790053,0.027325012,2.7%,0.01180261,821.51855
221400,24300,0.40491837,40.5%,0.016628316,0.01414511,1.4%,0.009883477,884.40594
221500,24300,0.40834728,40.8%,0.017200869,0.020634059,2.1%,0.012061504,696.16193
221600,24300,0.39413881,39.4%,0.022496944,0.025541328,2.6%,0.016181396,283.5708
222200,24300,0.33623543,33.6%,0.024913391,0.045834851,4.6%,0.032682121,220.8439
222500,24300,0.38555497,38.6%,0.020449474,0.04056523,4.1%,0.02103824,665.75677
222600,24300,0.36676031,36.7%,0.018300455,0.024933826,2.5%,0.024623711,591.27838
222700,24300,0.35832807,35.8%,0.016994096,0.033605415,3.4%,0.015029842,700.14056
222800,24300,0.33712041,33.7%,0.017776106,0.06590797,6.6%,0.034284942,428.7644
222900,24300,0.39221692,39.2%,0.02463101,0.017900364,1.8%,0.017782541,489.3591
230100,24300,0.33997706,34.0%,0.018533528,0.070089594,7.0%,0.024418594,586.92365
230200,24300,0.36915401,36.9%,0.016733745,0.01189408,1.2%,0.01104414,718.10516
230300,24300,0.37151745,37.2%,0.026966576,-0.004264954,-0.4%,0.020437494,430.33377
230400,24300,0.35903677,35.9%,0.01642378,0.047252852,4.7%,0.01638421,683.32428
230500,24300,0.35771233,35.8%,0.012447998,0.030590711,3.1%,0.010840349,1128.079
230600,24300,0.33257511,33.3%,0.00773321,0.046158906,4.6%,0.008722255,2424.4775
230700,24300,0.37656844,37.7%,0.009964814,0.030351898,3.0%,0.007711077,2170.3442
230800,24300,0.38850847,38.9%,0.024289839,0.007237329,0.7%,0.011677618,332.5907
230900,24300,0.35637805,35.6%,0.00967963,0.031985141,3.2%,0.008208886,2121.092
231100,24300,0.2874071,28.7%,0.016907673,0.072788455,7.3%,0.030857299,461.35519
231200,24300,0.29604703,29.6%,0.007627777,0.047464497,4.7%,0.008725545,2428.2944
231500,24300,0.26624727,26.6%,0.007702502,0.061349519,6.1%,0.011221326,2520.6685
240200,24300,0.37179837,37.2%,0.028567161,0.009190962,0.9%,0.019868776,157.34224
240300,24300,0.36142477,36.1%,0.041950338,-0.003702961,-0.4%,0.025473159,85.000015
240500,24300,0.42614281,42.6%,0.051196724,0.035893559,3.6%,0.051562581,82.604683
240600,24300,0.34226471,34.2%,0.021551047,0.019272279,1.9%,0.018165076,458.85794
240700,24300,0.4083398,40.8%,0.021724181,-0.007597419,-0.8%,0.022861058,621.09113
240800,24300,0.35445401,35.4%,0.018874425,0.017791796,1.8%,0.013812293,611.01062
240900,24300,0.39334378,39.3%,0.02392976,0.074591361,7.5%,0.028929627,304.23856
241000,24300,0.32621327,32.6%,0.013518329,0.015399651,1.5%,0.016205048,955.84137
241100,24300,0.35903469,35.9%,0.012569298,0.039929308,4.0%,0.015172433,1447.8531
241200,24300,0.33973584,34.0%,0.022062097,0.044960208,4.5%,0.023655232,217.07191
241300,24300,0.34265459,34.3%,0.029405287,0.053246651,5.3%,0.040403474,210.75699
241400,24300,0.33219618,33.2%,0.016172107,0.016628651,1.7%,0.012368904,357.0155
241500,24300,0.42479146,42.5%,0.020259203,0.016371438,1.6%,0.012289925,437.95691
241600,24300,0.36200893,36.2%,0.022150435,0.023630459,2.4%,0.020989891,853.23438
242000,24300,0.36364758,36.4%,0.018450703,0.029231047,2.9%,0.016922209,870.83844
242100,24300,0.37157395,37.2%,0.015680846,0.045097765,4.5%,0.015519788,631.03235
242200,24300,0.41378164,41.4%,0.017743316,0.005030538,0.5%,0.007955873,549.7998
242300,24300,0.38237342,38.2%,0.022528628,0.006188841,0.6%,0.010512262,255.81721
242400,24300,0.47375566,47.4%,0.024851793,0.008984559,0.9%,0.01018792,232.86957
242500,24300,0.40137509,40.1%,0.014230072,0.015280575,1.5%,0.008176358,738.53107
242600,24300,0.35161623,35.2%,0.010046031,0.015619224,1.6%,0.006061296,1877.943
242700,24300,0.33543324,33.5%,0.013286152,0.032804083,3.3%,0.017551828,876.11176
242800,24300,0.4050799,40.5%,0.042301685,-0.014219585,-1.4%,0.016257772,113.08358
242900,24300,0.41258815,41.3%,0.022916069,0.01403776,1.4%,0.014635374,319.06982
243000,24300,0.4356539,43.6%,0.022963682,-0.000340223,0.0%,0.009464405,405.27756
243100,24300,0.40751216,40.8%,0.018630797,0.021715142,2.2%,0.012424497,634.01617
243200,24300,0.37140957,37.1%,0.016588839,0.023465727,2.3%,0.012747691,434.01239
243300,24300,0.3669444,36.7%,0.029409621,0.035411403,3.5%,0.030006891,387.78354
243400,24300,0.3978422,39.8%,0.03098283,0.024813617,2.5%,0.028152768,573.94763
243500,24300,0.29193279,29.2%,0.029726194,0.094748072,9.5%,0.049618855,212.28284
250200,24300,0.27936253,27.9%,0.011449657,0.044497877,4.4%,0.01321697,823.40228
250300,24300,0.30091304,30.1%,0.008664603,0.046148859,4.6%,0.009793003,1327.6982
250400,24300,0.31245732,31.2%,0.008263246,0.050462384,5.0%,0.010685525,1500.9934
250500,24300,0.37655246,37.7%,0.01873336,0.01488972,1.5%,0.00866117,582.91003
250600,24300,0.30120611,30.1%,0.009347721,0.040700324,4.1%,0.01003723,1175.9556
250700,24300,0.30493921,30.5%,0.007815342,0.042595036,4.3%,0.008834948,1661.0216
250800,24300,0.29825181,29.8%,0.011227006,0.045824226,4.6%,0.012757417,751.19232
251000,24300,0.26592016,26.6%,0.016802717,0.064805612,6.5%,0.024244856,386.68405
251100,24300,0.27712688,27.7%,0.008217619,0.054593969,5.5%,0.011477686,1751.3999
251200,24300,0.29527372,29.5%,0.008542253,0.088156752,8.8%,0.011817652,1245.9653
251300,24300,0.30349386,30.3%,0.008015445,0.071164757,7.1%,0.011200489,1599.979
251400,24300,0.29805458,29.8%,0.009563352,0.059875101,6.0%,0.013557675,1131.0437
251500,24300,0.28402564,28.4%,0.008381098,0.036550608,3.7%,0.008210538,1638.9125
251600,24300,0.28815132,28.8%,0.008757595,0.049679793,5.0%,0.012564773,1483.1626
251700,24300,0.30819759,30.8%,0.014000587,0.073325641,7.3%,0.020774083,627.20203
251800,24300,0.28171575,28.2%,0.008179355,0.051428631,5.1%,0.011737668,2016.4408
251900,24300,0.27613255,27.6%,0.007542047,0.067633964,6.8%,0.010894535,2431.8923
252000,24300,0.26385444,26.4%,0.007811461,0.04802293,4.8%,0.00915652,1890.8638
252101,24300,0.28165516,28.2%,0.015721293,0.084876291,8.5%,0.022384671,449.08105
252102,24300,0.29608294,29.6%,0.007679379,0.032960378,3.3%,0.007366145,2126.5544
252201,24300,0.29766724,29.8%,0.012579298,0.053393926,5.3%,0.018203499,864.19031
252202,24300,0.28686386,28.7%,0.00849972,0.047429107,4.7%,0.010147487,1510.9106
260100,24300,0.24699348,24.7%,0.01801936,0.012943821,1.3%,0.01629767,338.05408
260200,24300,0.27724126,27.7%,0.015558628,0.0861561,8.6%,0.023186244,457.01285
260300,24300,0.25454026,25.5%,0.01381847,0.058356084,5.8%,0.020894902,736.18384
260400,24300,0.26046094,26.0%,0.014730364,0.04383295,4.4%,0.023686554,535.26379
260500,24300,0.25956041,26.0%,0.012918179,0.094625272,9.5%,0.019236229,678.20978
260600,24300,0.26804641,26.8%,0.011903747,0.049212821,4.9%,0.014174296,1115.7625
260700,24300,0.27096745,27.1%,0.012568993,0.084218092,8.4%,0.018860668,798.80157
260800,24300,0.27385083,27.4%,0.012302508,0.073367991,7.3%,0.017653856,838.44604
260900,24300,0.26132506,26.1%,0.016105287,0.04975608,5.0%,0.030037737,811.43378
261000,24300,0.2929796,29.3%,0.011632849,0.060933992,6.1%,0.016790004,1007.7634
270500,24300,0.27100223,27.1%,0.017874012,0.06224234,6.2%,0.037655618,453.02518
271200,24300,0.26441857,26.4%,0.017136766,0.040937502,4.1%,0.022847401,467.39575
271300,24300,0.24570127,24.6%,0.017118935,0.10100628,10.1%,0.03772058,422.22925
271400,24300,0.29619116,29.6%,0.014740191,0.027376238,2.7%,0.022032849,473.3306
271500,24300,0.27997458,28.0%,0.020481659,0.075506598,7.6%,0.028238054,344.01898
271800,24300,0.26484928,26.5%,0.021532612,0.070317537,7.0%,0.034203403,372.87338
280100,24300,0.32086352,32.1%,0.052437089,0.005378829,0.5%,0.021419074,19.266737
280400,24300,0.25929916,25.9%,0.014454428,0.029189311,2.9%,0.022313412,633.03491
280800,24300,0.24443533,24.4%,0.013780109,0.077700019,7.8%,0.024975758,1167.0192
280900,24300,0.2635842,26.4%,0.019945875,0.041876633,4.2%,0.039230447,567.4751
281900,24300,0.35910434,35.9%,0.028153451,0.01369557,1.4%,0.018044129,98.455009
282700,24300,0.37949228,37.9%,0.01981541,0.020072088,2.0%,0.01517612,382.86423
282800,24300,0.3982563,39.8%,0.025082955,0.007251477,0.7%,0.013086789,330.80051
283100,24300,0.33482575,33.5%,0.018741703,0.012613152,1.3%,0.011940415,252.36185
283200,24300,0.30601567,30.6%,0.021902071,0.057990815,5.8%,0.03240326,208.91891
283800,24300,0.29130182,29.1%,0.012430605,0.049180705,4.9%,0.017987953,734.28461
290900,24300,0.26983115,27.0%,0.010066403,0.13353749,13.4%,0.016297169,1488.8871
291200,24300,0.27358353,27.4%,0.013414729,0.09114626,9.1%,0.023379263,1204.1943
291600,24300,0.36604005,36.6%,0.021653688,0.044643674,4.5%,0.023178576,413.14969
292200,24300,0.28557691,28.6%,0.012929703,0.064194024,6.4%,0.019363793,987.3197
292400,24300,0.25834554,25.8%,0.012677432,0.077989079,7.8%,0.021378644,855.49915
292500,24300,0.27294603,27.3%,0.009284292,0.092372529,9.2%,0.013210266,1767.5769
300500,24300,0.37331438,37.3%,0.013673596,0.02340257,2.3%,0.010074195,970.79053
300600,24300,0.34133333,34.1%,0.013906782,0.02481259,2.5%,0.011003396,959.02417
300700,24300,0.3734355,37.3%,0.011676319,0.030923527,3.1%,0.00940084,1966.9503
300800,24300,0.38937512,38.9%,0.011128488,0.022551954,2.3%,0.007201408,1650.5223
300900,24300,0.39628762,39.6%,0.010732854,0.025626294,2.6%,0.007591057,1958.4889
301100,24300,0.39042443,39.0%,0.015356895,0.007001553,0.7%,0.007889368,1045.5958
301200,24300,0.37836117,37.8%,0.012478304,0.029706093,3.0%,0.009896724,1484.1735
301600,24300,0.36628741,36.6%,0.011329073,0.011634097,1.2%,0.006172188,1624.2355
301701,24300,0.40433666,40.4%,0.013714817,0.009587203,1.0%,0.006960681,1230.8993
301702,24300,0.42439324,42.4%,0.014384973,0.0137371,1.4%,0.007337325,1066.049
301801,24300,0.40686098,40.7%,0.014462661,0.017518969,1.8%,0.007606209,1096.4805
301802,24300,0.41065204,41.1%,0.013424939,0.011153245,1.1%,0.006689539,1122.3934
301803,24300,0.38572389,38.6%,0.011913184,0.014457384,1.4%,0.006359939,1592.843
310200,24300,0.43600687,43.6%,0.024556739,-0.012440328,-1.2%,0.012051678,259.79486
310300,24300,0.4317835,43.2%,0.022509443,0.026743261,2.7%,0.017161049,371.35315
310400,24300,0.37388566,37.4%,0.020995894,0.019620946,2.0%,0.015081447,369.89648
310500,24300,0.38029495,38.0%,0.016899617,0.004659863,0.5%,0.00749852,665.13562
310600,24300,0.3839806,38.4%,0.009399797,0.020944174,2.1%,0.00719923,2161.0469
310700,24300,0.38900989,38.9%,0.017045373,0.014041222,1.4%,0.011126543,659.646
310800,24300,0.40091515,40.1%,0.011263724,0.02023462,2.0%,0.00709849,1681.2434
310900,24300,0.39685693,39.7%,0.010564691,0.025530839,2.6%,0.00736928,1932.9153
320100,24300,0.42910251,42.9%,0.030818803,-0.005337216,-0.5%,0.005213771,69.855072
320400,24300,0.17192236,17.2%,0.066106379,0.006104108,0.6%,0.027548892,5.6524844
320600,24300,0.39447498,39.4%,0.039816618,0.082138374,8.2%,0.043741148,47.208241
330100,24300,0.33274573,33.3%,0.012470105,0.077191196,7.7%,0.015896747,424.19553
330200,24300,0.32614642,32.6%,0.023004409,0.045110442,4.5%,0.024777448,266.98267
340300,24300,0.56487405,56.5%,0.034539748,0.003847416,0.4%,0.015729595,186.26305
340400,24300,0.55084109,55.1%,0.034737103,-0.030354638,-3.0%,0.016622676,227.9612
340500,24300,0.45513514,45.5%,0.049991611,0.077820666,7.8%,0.056647312,90.16291
340600,24300,0.2456969,24.6%,0.018238302,0.11846209,11.8%,0.038859744,543.78357
350100,24300,0.34178787,34.2%,0.023297938,0.017590106,1.8%,0.015273145,131.99883
350400,24300,0.23180233,23.2%,0.014957159,0.11968923,12.0%,0.027397055,975.54907
351000,24300,0.32585883,32.6%,0.015657093,0.056938317,5.7%,0.020388637,258.15189
351100,24300,0.27310482,27.3%,0.009244465,0.051480927,5.1%,0.014581681,1947.5925
351400,24300,0.29397804,29.4%,0.017049789,0.05940482,5.9%,0.031085454,461.32733
351500,24300,0.25231096,25.2%,0.012745039,0.086185768,8.6%,0.021797238,1165.917
360200,24300,0.25733295,25.7%,0.014456375,0.044564825,4.5%,0.022990119,690.68835
