tract,cz,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_percent,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_percent,jail_pooled_pooled_p25_se,pooled_pooled_count
880309,24300,0.49839315,49.8%,0.052873921,0.032578684,3.3%,0.037421156,76.749397
880310,24300,0.4794758,47.9%,0.034395669,-0.006203987,-0.6%,0.0059415,415.25281
880312,24300,0.41588876,41.6%,0.050689161,-0.009918804,-1.0%,0.009252115,88.235687
880313,24300,0.44343007,44.3%,0.031662788,0.009742817,1.0%,0.010880174,593.98767
880314,24300,0.49172574,49.2%,0.059087593,0.016393492,1.6%,0.022164494,136.31149
880404,24300,0.52952605,53.0%,0.031948879,0.030677836,3.1%,0.021521751,167.44414
880408,24300,0.46004003,46.0%,0.035479154,0.007919649,0.8%,0.010257761,284.81262
880410,24300,0.46806923,46.8%,0.028326847,0.002208918,0.2%,0.006381492,527.91473
880411,24300,0.46536726,46.5%,0.039987583,0.002510585,0.3%,0.006945948,114.18853
880412,24300,0.47162271,47.2%,0.031916995,0.008012024,0.8%,0.006971194,161.56102
880414,24300,0.44020876,44.0%,0.035403073,0.027953682,2.8%,0.019696699,143.76743
880415,24300,0.4147011,41.5%,0.0251141,0.037580263,3.8%,0.020873228,454.79553
880416,24300,0.46827719,46.8%,0.048304696,0.008423017,0.8%,0.012275973,96.446388
880417,24300,0.44296634,44.3%,0.072241604,0.034831993,3.5%,0.054830424,42.204868
880418,24300,0.41490591,41.5%,0.059050355,0.003721676,0.4%,0.017550617,77.406052
880419,24300,0.43872115,43.9%,0.030376231,0.03290477,3.3%,0.021331046,371.10336
880420,24300,0.43946394,43.9%,0.029925397,0.004133454,0.4%,0.005755258,454.97144
880421,24300,0.43434083,43.4%,0.040614311,0.001295489,0.1%,0.005984215,129.217
880502,24300,0.46380222,46.4%,0.024529934,0.018439852,1.8%,0.011767151,409.2601
880503,24300,0.45978567,46.0%,0.042509798,0.022129061,2.2%,0.023945058,184.26195
