Date,GRA Purchases,PRGT 1/2/,Totals,Year,Month,,Day,Date Final,Totals
08/31/2022,93769635059.00,15254184552.00,109023819611.00,2022,08,31/2022,31,2022-08-31,109.0238196
12/31/2021,89474552025.00,14554823681.00,104029375706.00,2021,12,31/2021,31,2021-12-31,104.0293757
12/31/2020,93408630285.00,12481816684.00,105890446969.00,2020,12,31/2020,31,2020-12-31,105.890447
12/31/2019,66945509865.00,6590835450.00,73536345315.00,2019,12,31/2019,31,2019-12-31,73.53634532
12/31/2018,55395611392.00,6426181029.00,61821792421.00,2018,12,31/2018,31,2018-12-31,61.82179242
12/31/2017,39585385873.00,6522280669.00,46107666542.00,2017,12,31/2017,31,2017-12-31,46.10766654
12/31/2016,49267630851.00,6482647937.00,55750278788.00,2016,12,31/2016,31,2016-12-31,55.75027879
12/31/2015,50757840741.00,6575911158.00,57333751899.00,2015,12,31/2015,31,2015-12-31,57.3337519
12/31/2014,69041563463.00,6292755583.00,75334319046.00,2014,12,31/2014,31,2014-12-31,75.33431905
12/31/2013,83899249061.00,6174392682.00,90073641743.00,2013,12,31/2013,31,2013-12-31,90.07364174
12/31/2012,90042348252.00,5766292503.00,95808640755.00,2012,12,31/2012,31,2012-12-31,95.80864076
12/31/2011,87276915790.00,5308609594.00,92585525384.00,2011,12,31/2011,31,2011-12-31,92.58552538
12/31/2010,55620104510.00,4819344134.00,60439448644.00,2010,12,31/2010,31,2010-12-31,60.43944864
12/31/2009,37221142436.00,5079705286.00,42300847722.00,2009,12,31/2009,31,2009-12-31,42.30084772
12/31/2008,17514964723.00,3972372030.00,21487336753.00,2008,12,31/2008,31,2008-12-31,21.48733675
12/31/2007,6036146757.00,3796945581.00,9833092338.00,2007,12,31/2007,31,2007-12-31,9.833092338
12/31/2006,9822640239.00,3844020520.00,13666660759.00,2006,12,31/2006,31,2006-12-31,13.66666076
12/31/2005,28432143237.00,6282121668.00,34714264905.00,2005,12,31/2005,31,2005-12-31,34.71426491
12/31/2004,55373766674.00,6766029353.00,62139796027.00,2004,12,31/2004,31,2004-12-31,62.13979603
12/31/2003,65032062712.00,6880893268.00,71912955980.00,2003,12,31/2003,31,2003-12-31,71.91295598
12/31/2002,63601058794.00,6868671012.00,70469729806.00,2002,12,31/2002,31,2002-12-31,70.46972981
12/31/2001,53477225409.00,6424578684.00,59901804093.00,2001,12,31/2001,31,2001-12-31,59.90180409
12/31/2000,42990531049.00,6331595468.00,49322126517.00,2000,12,31/2000,31,2000-12-31,49.32212652
12/31/1999,51061861875.00,6434274362.00,57496136237.00,1999,12,31/1999,31,1999-12-31,57.49613624
12/31/1998,60451017051.00,6288825925.00,66739842976.00,1998,12,31/1998,31,1998-12-31,66.73984298
12/31/1997,46559033783.00,6009867422.00,52568901205.00,1997,12,31/1997,31,1997-12-31,52.56890121
12/31/1996,36127472805.00,5881609752.00,42009082557.00,1996,12,31/1996,31,1996-12-31,42.00908256
12/31/1995,35929173412.00,5657438528.00,41586611940.00,1995,12,31/1995,31,1995-12-31,41.58661194
12/31/1994,25611676952.00,4599768498.00,30211445450.00,1994,12,31/1994,31,1994-12-31,30.21144545
12/31/1993,25196745031.00,3942792899.00,29139537930.00,1993,12,31/1993,31,1993-12-31,29.13953793
12/31/1992,23967172718.00,3804463796.00,27771636514.00,1992,12,31/1992,31,1992-12-31,27.77163651
12/31/1991,23378573926.00,3285717796.00,26664291722.00,1991,12,31/1991,31,1991-12-31,26.66429172
12/31/1990,20731851093.00,2571911617.00,23303762710.00,1990,12,31/1990,31,1990-12-31,23.30376271
12/31/1989,22315104224.00,2334886562.00,24649990786.00,1989,12,31/1989,31,1989-12-31,24.64999079
12/31/1988,24750004884.00,1773964293.00,26523969177.00,1988,12,31/1988,31,1988-12-31,26.52396918
12/31/1987,28751979125.00,1866342930.00,30618322055.00,1987,12,31/1987,31,1987-12-31,30.61832206
12/31/1986,33334905644.00,2013169931.00,35348075575.00,1986,12,31/1986,31,1986-12-31,35.34807558
12/31/1985,35194787249.00,2470247948.00,37665035197.00,1985,12,31/1985,31,1985-12-31,37.6650352
12/31/1984,34936772393.00,2769874900.00,37706647293.00,1984,12,31/1984,31,1984-12-31,37.70664729
,,,,,,,,,
,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,
,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,
