,date,temp,date2
93,2022-12-07 12:20:00+00:00,3,2022-12-07T12:20:00
94,2022-12-07 14:50:00+00:00,3,2022-12-07T14:50:00
95,2022-12-07 17:50:00+00:00,2,2022-12-07T17:50:00
96,2022-12-07 20:20:00+00:00,0,2022-12-07T20:20:00
97,2022-12-07 21:20:00+00:00,0,2022-12-07T21:20:00
98,2022-12-07 23:20:00+00:00,1,2022-12-07T23:20:00
99,2022-12-08 02:50:00+00:00,0,2022-12-08T02:50:00
100,2022-12-08 17:20:00+00:00,1,2022-12-08T17:20:00
101,2022-12-09 01:20:00+00:00,-3,2022-12-09T01:20:00
102,2022-12-09 02:20:00+00:00,-3,2022-12-09T02:20:00
103,2022-12-09 06:20:00+00:00,-1,2022-12-09T06:20:00
104,2022-12-09 09:50:00+00:00,0,2022-12-09T09:50:00
105,2022-12-09 10:50:00+00:00,1,2022-12-09T10:50:00
106,2022-12-09 14:50:00+00:00,2,2022-12-09T14:50:00
107,2022-12-09 20:20:00+00:00,0,2022-12-09T20:20:00
108,2022-12-10 00:20:00+00:00,1,2022-12-10T00:20:00
109,2022-12-10 00:50:00+00:00,1,2022-12-10T00:50:00
110,2022-12-10 07:20:00+00:00,0,2022-12-10T07:20:00
111,2022-12-10 08:20:00+00:00,0,2022-12-10T08:20:00
112,2022-12-11 02:50:00+00:00,-1,2022-12-11T02:50:00
113,2022-12-11 04:20:00+00:00,0,2022-12-11T04:20:00
114,2022-12-11 06:50:00+00:00,0,2022-12-11T06:50:00
115,2022-12-11 09:50:00+00:00,0,2022-12-11T09:50:00
116,2022-12-11 14:20:00+00:00,0,2022-12-11T14:20:00
117,2022-12-12 01:20:00+00:00,-1,2022-12-12T01:20:00
118,2022-12-12 12:20:00+00:00,-2,2022-12-12T12:20:00
119,2022-12-12 20:50:00+00:00,-2,2022-12-12T20:50:00
120,2022-12-12 22:20:00+00:00,-1,2022-12-12T22:20:00
121,2022-12-13 05:20:00+00:00,-2,2022-12-13T05:20:00
122,2022-12-13 09:20:00+00:00,-2,2022-12-13T09:20:00
123,2022-12-13 13:50:00+00:00,0,2022-12-13T13:50:00
124,2022-12-13 15:20:00+00:00,-1,2022-12-13T15:20:00
125,2022-12-13 23:20:00+00:00,-2,2022-12-13T23:20:00
126,2022-12-14 01:20:00+00:00,-2,2022-12-14T01:20:00
127,2022-12-14 05:50:00+00:00,-3,2022-12-14T05:50:00
128,2022-12-14 15:50:00+00:00,-2,2022-12-14T15:50:00
129,2022-12-14 18:20:00+00:00,-2,2022-12-14T18:20:00
130,2022-12-17 06:50:00+00:00,3,2022-12-17T06:50:00
131,2022-12-17 08:20:00+00:00,3,2022-12-17T08:20:00
132,2022-12-17 08:50:00+00:00,3,2022-12-17T08:50:00
133,2022-12-17 12:20:00+00:00,4,2022-12-17T12:20:00
134,2022-12-17 12:50:00+00:00,5,2022-12-17T12:50:00
135,2022-12-17 14:20:00+00:00,5,2022-12-17T14:20:00
136,2022-12-18 04:20:00+00:00,0,2022-12-18T04:20:00
137,2022-12-18 04:50:00+00:00,0,2022-12-18T04:50:00
138,2022-12-18 10:20:00+00:00,2,2022-12-18T10:20:00
139,2022-12-18 15:50:00+00:00,8,2022-12-18T15:50:00
140,2022-12-18 20:50:00+00:00,11,2022-12-18T20:50:00
141,2022-12-19 07:20:00+00:00,12,2022-12-19T07:20:00
142,2022-12-19 10:20:00+00:00,12,2022-12-19T10:20:00
143,2022-12-19 20:20:00+00:00,12,2022-12-19T20:20:00
144,2022-12-19 23:50:00+00:00,12,2022-12-19T23:50:00
145,2022-12-12 05:50:00+00:00,-1,2022-12-12T05:50:00
146,2022-12-12 08:20:00+00:00,-2,2022-12-12T08:20:00
147,2022-12-12 19:20:00+00:00,-2,2022-12-12T19:20:00
148,2022-12-08 06:20:00+00:00,0,2022-12-08T06:20:00
149,2022-12-08 07:50:00+00:00,0,2022-12-08T07:50:00
150,2022-12-08 13:50:00+00:00,3,2022-12-08T13:50:00
151,2022-12-08 16:50:00+00:00,1,2022-12-08T16:50:00
152,2022-12-08 17:50:00+00:00,1,2022-12-08T17:50:00
153,2022-12-09 01:50:00+00:00,-2,2022-12-09T01:50:00
154,2022-12-09 04:50:00+00:00,-2,2022-12-09T04:50:00
