,date, value,moving_average
140,01/10/1982,644.69,558.0583333333333
141,01/11/1982,705.76,583.2016666666667
142,01/12/1982,708.85,613.7233333333334
143,01/01/1983,755.98,654.5666666666666
144,01/02/1983,792.7,696.4366666666668
145,01/03/1983,823.5,738.5799999999999
146,01/04/1983,884.75,778.59
147,01/05/1983,926.5,815.3800000000001
148,01/06/1983,953.55,856.1633333333333
149,01/07/1983,905.8,881.1333333333333
150,01/08/1983,868.78,893.8133333333334
151,01/09/1983,876.9,902.7133333333333
152,01/10/1983,809.37,890.1500000000001
153,01/11/1983,840.44,875.8066666666665
154,01/12/1983,818.81,853.35
155,01/01/1984,784.35,833.1083333333332
156,01/02/1984,734.22,810.6816666666667
157,01/03/1984,727.76,785.8249999999999
158,01/04/1984,714.61,770.0316666666668
159,01/05/1984,670.29,741.6733333333333
160,01/06/1984,688.04,719.8783333333334
161,01/07/1984,656.94,698.6433333333333
162,01/08/1984,725.47,697.1850000000001
163,01/09/1984,708.58,693.9883333333333
164,01/10/1984,698.27,691.265
165,01/11/1984,685.26,693.7600000000001
166,01/12/1984,698.55,695.5116666666668
167,01/01/1985,786.49,717.1033333333334
168,01/02/1985,798.32,729.245
169,01/03/1985,781.2,741.3483333333334
170,01/04/1985,781.47,755.215
171,01/05/1985,806.97,775.5
172,01/06/1985,819.59,795.6733333333333
173,01/07/1985,832.19,803.29
174,01/08/1985,820.76,807.0300000000001
175,01/09/1985,770.54,805.2533333333334
176,01/10/1985,801.16,808.535
177,01/11/1985,857.53,816.9616666666667
178,01/12/1985,885.03,827.8683333333333
179,01/01/1986,912.03,841.1750000000001
180,01/02/1986,979.28,867.5949999999999
181,01/03/1986,1025.18,910.035
182,01/04/1986,1050.35,951.5666666666666
183,01/05/1986,1094.15,991.0033333333332
184,01/06/1986,1102.55,1027.2566666666667
185,01/07/1986,1009.84,1043.5583333333334
186,01/08/1986,1039.19,1053.5433333333333
187,01/09/1986,947.59,1040.6116666666667
188,01/10/1986,973.8,1027.8533333333332
189,01/11/1986,969.84,1007.1349999999999
190,01/12/1986,939.67,979.9883333333332
191,01/01/1987,1049.65,986.6233333333333
192,01/02/1987,1133.9,1002.4083333333334
193,01/03/1987,1142.35,1034.8683333333333
194,01/04/1987,1103.83,1056.54
195,01/05/1987,1096.23,1077.6049999999998
196,01/06/1987,1113.99,1106.6583333333335
197,01/07/1987,1137.7,1121.3333333333333
198,01/08/1987,1183.91,1129.6683333333333
199,01/09/1987,1150.29,1130.9916666666666
200,01/10/1987,834.76,1086.1466666666668
201,01/11/1987,787.42,1034.6783333333333
202,01/12/1987,852.69,991.1283333333332
203,01/01/1988,886.91,949.3299999999999
204,01/02/1988,941.72,908.965
205,01/03/1988,957.1,876.7666666666668
206,01/04/1988,963.93,898.2950000000001
207,01/05/1988,938.34,923.4483333333333
208,01/06/1988,995.83,947.305
209,01/07/1988,972.9,961.6366666666668
210,01/08/1988,942.25,961.725
211,01/09/1988,963.43,962.7800000000001
212,01/10/1988,947.45,960.0333333333333
213,01/11/1988,919.46,956.8866666666668
214,01/12/1988,942.44,947.9883333333332
215,01/01/1989,986.4,950.2383333333333
216,01/02/1989,978.47,956.275
217,01/03/1989,989.91,960.6883333333332
218,01/04/1989,1033.94,975.1033333333334
219,01/05/1989,1073.11,1000.7116666666666
220,01/06/1989,1044.28,1017.6850000000001
221,01/07/1989,1085.94,1034.2749999999999
222,01/08/1989,1121.16,1058.0566666666666
223,01/09/1989,1126.45,1080.8133333333335
224,01/10/1989,1079.77,1088.4516666666666
225,01/11/1989,1078.68,1089.38
226,01/12/1989,1073.78,1094.2966666666666
227,01/01/1990,971.72,1075.26
228,01/02/1990,990.41,1053.4683333333335
229,01/03/1990,1007.31,1033.6116666666667
230,01/04/1990,970.43,1015.3883333333333
231,01/05/1990,1057.54,1011.8649999999999
232,01/06/1990,1059.59,1009.5
233,01/07/1990,1000.41,1014.2816666666666
234,01/08/1990,862.27,992.9249999999998
235,01/09/1990,772.71,953.8249999999999
236,01/10/1990,735.45,914.6616666666667
237,01/11/1990,799.0,871.5716666666667
238,01/12/1990,831.71,833.5916666666667
239,01/01/1991,916.21,819.5583333333334
240,01/02/1991,1000.9,842.6633333333333
241,01/03/1991,1063.47,891.1233333333333
242,01/04/1991,1067.35,946.44
243,01/05/1991,1111.42,998.5100000000001
244,01/06/1991,1041.79,1033.5233333333333
245,01/07/1991,1097.46,1063.7316666666668
246,01/08/1991,1145.46,1087.825
247,01/09/1991,1143.33,1101.135
248,01/10/1991,1176.64,1119.3500000000001
249,01/11/1991,1131.62,1122.7166666666665
250,01/12/1991,1265.91,1160.07
251,01/01/1992,1337.17,1200.0216666666668
252,01/02/1992,1360.69,1235.8933333333332
253,01/03/1992,1290.26,1260.3816666666667
254,01/04/1992,1234.9,1270.0916666666665
255,01/05/1992,1247.3,1289.3716666666667
256,01/06/1992,1196.52,1277.8066666666666
257,01/07/1992,1230.78,1260.075
258,01/08/1992,1189.87,1231.605
259,01/09/1992,1228.95,1221.3866666666665
260,01/10/1992,1270.86,1227.38
261,01/11/1992,1368.77,1247.625
262,01/12/1992,1420.24,1284.9116666666666
263,01/01/1993,1453.96,1322.1083333333333
264,01/02/1993,1395.2,1356.33
265,01/03/1993,1430.64,1389.945
266,01/04/1993,1367.16,1405.995
267,01/05/1993,1446.59,1418.9650000000001
268,01/06/1993,1451.54,1424.1816666666666
269,01/07/1993,1453.09,1424.0366666666669
270,01/08/1993,1527.28,1446.05
271,01/09/1993,1565.22,1468.4800000000002
272,01/10/1993,1592.03,1505.9583333333333
273,01/11/1993,1540.46,1521.6033333333335
274,01/12/1993,1586.23,1544.0516666666665
275,01/01/1994,1629.76,1573.4966666666667
276,01/02/1994,1607.98,1586.9466666666667
277,01/03/1994,1503.28,1576.6233333333332
278,01/04/1994,1482.36,1558.345
279,01/05/1994,1483.61,1548.87
280,01/06/1994,1420.39,1521.2299999999998
281,01/07/1994,1448.65,1491.045
282,01/08/1994,1529.71,1478.0
283,01/09/1994,1523.23,1481.325
284,01/10/1994,1547.98,1492.2616666666665
285,01/11/1994,1492.39,1493.7250000000001
286,01/12/1994,1495.65,1506.2683333333334
287,01/01/1995,1496.05,1514.1683333333333
288,01/02/1995,1566.03,1520.2216666666666
289,01/03/1995,1606.63,1534.121666666667
290,01/04/1995,1654.2,1551.825
291,01/05/1995,1691.12,1584.9466666666667
292,01/06/1995,1822.09,1639.3533333333335
293,01/07/1995,1954.36,1715.738333333333
294,01/08/1995,1986.15,1785.7583333333332
295,01/09/1995,2027.6,1855.9199999999998
296,01/10/1995,2006.85,1914.695
297,01/11/1995,2052.73,1974.9633333333331
298,01/12/1995,2040.08,2011.2949999999998
299,01/01/1996,2043.28,2026.115
300,01/02/1996,2114.3,2047.4733333333334
301,01/03/1996,2105.88,2060.52
302,01/04/1996,2267.94,2104.0350000000003
303,01/05/1996,2363.76,2155.8733333333334
304,01/06/1996,2251.54,2191.116666666667
305,01/07/1996,2048.8,2192.036666666667
306,01/08/1996,2160.86,2199.796666666667
307,01/09/1996,2315.2,2234.6833333333334
308,01/10/1996,2297.66,2239.6366666666668
309,01/11/1996,2426.23,2250.048333333333
310,01/12/1996,2423.26,2278.6683333333335
311,01/01/1997,2581.7,2367.485
312,01/02/1997,2441.29,2414.223333333333
313,01/03/1997,2273.58,2407.2866666666664
314,01/04/1997,2342.49,2414.758333333333
315,01/05/1997,2604.6,2444.4866666666667
316,01/06/1997,2677.92,2486.93
317,01/07/1997,2956.52,2549.4
318,01/08/1997,2938.13,2632.2066666666665
319,01/09/1997,3113.47,2772.1883333333335
320,01/10/1997,2935.43,2871.0116666666668
321,01/11/1997,2949.81,2928.5466666666666
322,01/12/1997,2898.87,2965.3716666666664
323,01/01/1998,2982.86,2969.7616666666668
324,01/02/1998,3255.97,3022.735
325,01/03/1998,3368.47,3065.235
326,01/04/1998,3422.93,3146.485
327,01/05/1998,3253.55,3197.108333333333
328,01/06/1998,3459.8,3290.596666666667
329,01/07/1998,3415.24,3362.66
330,01/08/1998,2731.63,3275.27
331,01/09/1998,3082.79,3227.656666666667
332,01/10/1998,3215.07,3193.013333333334
333,01/11/1998,3538.42,3240.491666666667
334,01/12/1998,3981.93,3327.513333333334
335,01/01/1999,4540.67,3515.0850000000005
336,01/02/1999,4141.33,3750.035
337,01/03/1999,4440.37,3976.2983333333336
338,01/04/1999,4554.26,4199.496666666667
339,01/05/1999,4424.7,4347.21
340,01/06/1999,4810.84,4485.361666666667
341,01/07/1999,4712.34,4513.973333333333
342,01/08/1999,4881.52,4637.338333333334
343,01/09/1999,4868.94,4708.766666666666
344,01/10/1999,5250.58,4824.820000000001
345,01/11/1999,5901.67,5070.981666666667
346,01/12/1999,7198.61,5468.943333333334
347,01/01/2000,6950.78,5842.016666666666
348,01/02/2000,8233.3,6400.6466666666665
349,01/03/2000,7952.15,6914.514999999999
350,01/04/2000,6709.83,7157.723333333332
351,01/05/2000,5903.98,7158.108333333333
352,01/06/2000,6849.47,7099.918333333332
353,01/07/2000,6490.52,7023.208333333332
354,01/08/2000,7247.54,6858.915
355,01/09/2000,6295.21,6582.758333333332
356,01/10/2000,5765.44,6425.360000000001
357,01/11/2000,4442.46,6181.7733333333335
358,01/12/2000,4227.06,5744.704999999999
359,01/01/2001,4713.64,5448.558333333333
360,01/02/2001,3643.05,4847.81
361,01/03/2001,3110.04,4316.948333333333
362,01/04/2001,3561.63,3949.646666666667
363,01/05/2001,3535.07,3798.4150000000004
364,01/06/2001,3614.58,3696.3350000000005
365,01/07/2001,3399.5,3477.311666666667
366,01/08/2001,3027.71,3374.7549999999997
367,01/09/2001,2503.0,3273.581666666667
368,01/10/2001,2831.09,3151.8250000000003
369,01/11/2001,3239.51,3102.565
370,01/12/2001,3286.42,3047.8716666666664
371,01/01/2002,3251.1,3023.138333333334
372,01/02/2002,2898.51,3001.605
373,01/03/2002,3072.51,3096.523333333333
374,01/04/2002,2795.71,3090.626666666667
375,01/05/2002,2675.65,2996.65
376,01/06/2002,2421.61,2852.515
377,01/07/2002,2195.61,2676.6000000000004
378,01/08/2002,2166.87,2554.66
379,01/09/2002,1928.04,2363.9150000000004
380,01/10/2002,2183.45,2261.8716666666664
381,01/11/2002,2428.16,2220.6233333333334
